,City,latitude,longitude
0,Ain Harrouda,33.63722222222222,-7.448333333333333
1,Ben Yakhlef,,
2,Bouskoura,33.44888888888889,-7.64861111111111
3,Casablanca,33.53333333333333,-7.583333333333333
4,Mediouna,33.45138888888889,-7.515
5,Mohammadia,,
6,Tit Mellil,33.55333333333333,-7.482222222222222
7,Ben Yakhlef,,
8,Bejaad,,
9,Ben Ahmed,33.065555555555555,-7.246388888888889
10,Benslimane,33.61666666666667,-7.116666666666666
11,Berrechid,33.266666666666666,-7.583333333333333
12,Boujniba,32.9,-6.783333333333333
13,Boulanouare,32.856944444444444,-6.8788888888888895
14,Bouznika,33.78972222222222,-7.157500000000001
15,Deroua,33.416666666666664,-7.533333333333333
16,El Borouj,32.505,-7.192777777777778
17,El Gara,33.11194444444445,-7.405833333333334
18,Guisser,32.766666666666666,-7.5
19,Hattane,32.84,-6.803055555555555
20,Khouribga,32.88333333333333,-6.916666666666667
21,Loulad,32.983333333333334,-7.133333333333334
22,Oued Zem,32.86666666666667,-6.566666666666666
23,Oulad Abbou,33.11555555555556,-7.933333333333334
24,Oulad H'Riz Sahel,,
25,Oulad M'rah,,
26,Oulad Said,,
27,Oulad Sidi Ben Daoud,,
28,Ras El Ain,,
29,Settat,33.0,-7.616666666666667
30,Sidi Rahhal Chatai,,
31,Soualem,33.416666666666664,-7.833333333333333
32,Azemmour,33.28777777777778,-8.342222222222222
33,Bir Jdid,33.37361111111111,-8.000277777777777
34,Bouguedra,32.266666666666666,-8.983333333333333
35,Echemmaia,32.078611111111115,-8.6325
36,El Jadida,33.233333333333334,-8.5
37,Hrara,32.44027777777777,-9.135833333333332
38,Ighoud,31.858611111111113,-8.884166666666665
39,Jamaat Shaim,,
40,Jorf Lasfar,33.126666666666665,-8.620277777777778
41,Khemis Zemamra,,
42,Laaounate,32.74472222222222,-8.194166666666668
43,Moulay Abdallah,,
44,Oualidia,32.733333333333334,-9.016666666666667
45,Oulad Amrane,35.21666666666667,-5.966666666666667
46,Oulad Frej,32.96666666666667,-8.233333333333333
47,Oulad Ghadbane,,
48,Safi,,
49,Sebt El Maarif,,
50,Sebt Gzoula,32.11666666666667,-9.083333333333334
51,Sidi Ahmed,35.09777777777778,-3.8316666666666666
52,Sidi Ali Ban Hamdouche,,
53,Sidi Bennour,32.65,-8.433333333333334
54,Sidi Bouzid,35.03805555555555,9.485833333333332
55,Sidi Smail,,
56,Youssoufia,,
57,Fes,34.03333333333333,-5.0
58,Ain Cheggag,,
59,Bhalil,33.85,-4.866666666666667
60,Boulemane,33.36666666666667,-4.75
61,El Menzel,33.83888888888889,-4.545833333333333
62,Guigou,,
63,Imouzzer Kandar,33.730000000000004,-5.01
64,Imouzzer Marmoucha,33.46666666666667,-4.283333333333333
65,Missour,33.05,-3.9833333333333334
66,Moulay Yaacoub,,
67,Ouled Tayeb,,
68,Outat El Haj,33.333333333333336,-3.6833333333333336
69,Ribate El Kheir,33.81838611111112,-4.410630555555556
70,Sefrou,,
71,Skhinate,,
72,Tafajight,33.541666666666664,-4.291666666666667
73,Arbaoua,34.9,-5.916666666666667
74,Ain Dorij,,
75,Dar Gueddari,34.416666666666664,-6.083333333333333
76,Had Kourt,34.61666666666667,-5.733333333333333
77,Jorf El Melha,34.483333333333334,-5.516944444444444
78,Kenitra,34.25,-6.583333333333333
79,Khenichet,34.43333333333333,-5.666666666666667
80,Lalla Mimouna,34.85,-6.066944444444444
81,Mechra Bel Ksiri,34.559999999999995,-5.95
82,Mehdia,35.5,11.066666666666666
83,Moulay Bousselham,34.87861111111111,-6.293333333333333
84,Sidi Allal Tazi,34.51972222222222,-6.323611111111111
85,Sidi Kacem,34.21666666666667,-5.7
86,Sidi Slimane,,
87,Sidi Taibi,34.19166666666666,-6.684444444444445
88,Sidi Yahya El Gharb,34.30583333333333,-6.305833333333333
89,Souk El Arbaa,34.68,-5.98
90,Akka,,
91,Assa,,
92,Bouizakarne,29.166666666666668,-9.733333333333333
93,El Ouatia,28.496111111111112,-11.332777777777778
94,Es-Semara,,
95,Fam El Hisn,29.01888888888889,-8.89111111111111
96,Foum Zguid,30.085277777777776,-6.873611111111112
97,Guelmim,28.983333333333334,-10.066666666666666
98,Taghjijt,29.05638888888889,-9.428055555555554
99,Tan-Tan,28.433333333333334,-11.1
100,Tata,,
101,Zag,,
102,Marrakech,31.63,-8.008888888888889
103,Ait Daoud,31.080555555555556,-9.351388888888888
104,Amizmiz,31.216666666666665,-8.25
105,Assahrij,31.8,-7.140000000000001
106,Ait Ourir,,
107,Ben Guerir,32.243005555555555,-7.959594444444445
108,Chichaoua,31.533333333333335,-8.766666666666667
109,El Hanchane,31.529166666666665,-9.435833333333333
110,El Kelaa des Sraghna,,
111,Essaouira,31.513055555555557,-9.769722222222223
112,Fraita,,
113,Ghmate,31.42777777777778,-7.792222222222222
114,Ighounane,,
115,Imintanoute,31.16,-8.85
116,Kattara,,
117,Lalla Takerkoust,31.366944444444446,-8.133055555555556
118,Loudaya,,
119,Laattaouia,,
120,Moulay Brahim,,
121,Mzouda,,
122,Ounagha,31.533333333333335,-9.55
123,Sid L'Mokhtar,31.57,-9.01
124,Sid Zouin,,
